dataset,algorithm,n,k,id,time,mst_cost,min_dist,kmeans_loss,smallest_cluster,seed,min_size,min_dist_upper_bound,search_all
vowel,cm,990,11,3,0.17874360084533691,5.041258998898683,0.4969284575362553,1187.2566095883642,52,1.0,70.0,1.720226587407291,False
vowel,cm,990,11,4,0.17981171607971191,4.9119472266508035,0.48164262326755736,1220.7374505816683,60,1.0,81.0,1.692905832587776,False
vowel,cm,990,11,10,0.17215442657470703,4.8955922367626385,0.48197963798238386,1220.7636383535375,59,1.0,79.0,1.6938846388964435,False
vowel,cm,990,11,6,0.16326260566711426,4.911672162712241,0.48148263960138377,1174.5965657741392,61,1.0,82.0,1.6927458489216023,False
vowel,cm,990,11,10,0.17215442657470703,4.8955922367626385,0.48197963798238386,1220.7636383535375,59,1.0,79.0,1.6938846388964435,False
vowel,cm,990,11,8,0.17943215370178223,4.975710489463343,0.4916339909233291,1228.7408886573435,56,1.0,75.0,1.7126260231558332,False
vowel,cm,990,11,9,0.18767905235290527,5.0467064730659885,0.4967183226694283,1152.4012860547823,54,1.0,73.0,1.719874040688217,False
vowel,cm,990,11,10,0.17215442657470703,4.8955922367626385,0.48197963798238386,1220.7636383535375,59,1.0,79.0,1.6938846388964435,False
letter,cm,20000,26,1,18.62757134437561,5.542562614022685,2.9802322387695312e-08,6724.771739182407,260,1.0,234.0,1.2534000388352478,False
letter,cm,20000,26,9,18.57015872001648,5.542562614022685,2.9802322387695312e-08,6724.771739182407,260,1.0,233.0,1.2534000388352478,False
letter,cm,20000,26,3,19.439722061157227,5.843850578302986,2.9802322387695312e-08,7170.813059402551,276,1.0,290.0,1.2534000388352478,False
letter,cm,20000,26,9,18.57015872001648,5.542562614022685,2.9802322387695312e-08,6724.771739182407,260,1.0,233.0,1.2534000388352478,False
letter,cm,20000,26,5,18.50457763671875,5.542562614022685,2.9802322387695312e-08,6724.771739182407,260,1.0,230.0,1.2534000388352478,False
letter,cm,20000,26,6,19.365437030792236,5.843850578302986,2.9802322387695312e-08,7170.813059402551,276,1.0,277.0,1.2534000388352478,False
letter,cm,20000,26,7,19.21519708633423,5.843850578302986,2.9802322387695312e-08,7170.813059402551,276,1.0,307.0,1.2419618471516618,False
